Norm	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11
OTU_58	0	0	0.000495	0	0.000191	0.000502	0	0.000169	0.000509	0	0	0.000101	0	0	0.00011	0	0.000959	0	0.002	0.00107	0.00144	0.00115	0
OTU_59	0	0	0	0	0.0037	0	0	0.00161	0.000241	0	0	0	0	0	0.00313	0	0	0	0	0	0	0	0
OTU_60	0	0.00339	0.0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_61	0	0.000163	0	0	0.000239	0	0	0	0.000509	0	0	0	0	0	0	0	0	0	0	0.00046	0.00258	0.00442	0
OTU_62	0	0.00075	0.00201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00515
OTU_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033	0.00428	0
OTU_64	0	0	0.000303	0	0	0	0.000115	0	0	0	0	0	0	0	0	0	0.00699	0	0	0	0	0	0
OTU_65	0	0	0	0	0	0	0	0	0	0	0.00735	0	0	0	0	0	0	0	0	0	0	0	0
OTU_66	0	0	0.000495	0	0	0.000209	0.000287	0	0.00201	0	0	0	0.000174	0	0	0	0	0	0	0	0.00201	0.00188	0
OTU_69	0	0	0	0	0	0.000167	0	0	0.000107	5.34E-05	0	8.08E-05	0	0	0	0	0	0	0	0.00606	0	0	0
OTU_70	0	0	0.00044	0	0.000167	0	0	0.000381	0.000375	6.68E-05	0	0	0	0	0.000442	0	0.000343	0	0.000546	0.00176	0.00076	0.00118	0
OTU_71	0	0	0	0	0.000143	0	0.000602	0	0	0	0.000146	0.000667	0.00055	0	0	0	0.00185	0	0	0.00199	0	0	0
OTU_72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.83E-05	0	0.00576	0	0	0	0	0	0
OTU_74	0	0	0	0	0	0	0.000975	0	0.00134	0	0	0	0	0	0	0	0	0.00326	0	0	0	0	0
OTU_75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00525	0	0	0	0	0	0	0	0
OTU_76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000132	0	0	0	0	0	0.00319	0.00192	0
OTU_77	0	0	0	0	0	0	0	0	0.000161	0.00295	0	0	0	0	0	0	0	0	0.00097	0	0.00057	0.000557	0
OTU_78	0	0	0	0	0	0	0	0	0.0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00507	0	0	0	0	0	0
OTU_80	0	0.00137	0.00369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_81	0	0	0.00011	0	0	0	0	0	0	0	0	0.000343	0.000203	0	0.00117	0	0.00103	0	0.00145	0.000384	0.000152	0.000139	0
OTU_83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00274	0	0.00212	0	0	0	0	0	0
OTU_85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00281	0.00188	0
OTU_86	0	0.00408	0.000578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_87	0	0	0	0	0	0	0.000889	0	0	0	5.84E-05	0.000768	0.00269	0.000169	0	0	0	0	0	0	0	0	0
OTU_88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00439	0	0	0	0	0	0
OTU_90	0	0	0.000193	0	0	0.000502	0.000459	0	0.000911	0.00024	0	0	0.000116	0	0.000287	0	0	0	0.000242	0.000307	0.000456	0.000383	0
OTU_93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.83E-05	0	0.0037	0	0	0	0	0.000209	0
OTU_94	0	0.000326	0.000881	0	0.000239	0.000544	0.000115	0.000169	0.000161	0	5.84E-05	8.08E-05	0	0	0	0	0	0	0.000606	0.00046	0.00019	0.000139	0
OTU_95	0	0	0.00011	0	0.000644	0	0.00146	0	0	0	0	0.000162	0.000608	0	0	0	0.000959	0	0	0	0	0	0
OTU_96	0	0	0.000138	0	0.000191	0.000167	0.000401	0	0.000348	0.00101	0.000423	0.000485	0.00029	0.000253	0.00011	0	0	0	0	0	0	0	0
OTU_97	0	0	0	0	0	0	0	0	0.00372	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_98	0	0	0.000248	0	0	0	0.000602	0	0	0	0	0	0	6.75E-05	0.00115	0	0	0	0.000606	0.00046	0.000342	0.000244	0
OTU_99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258	0	0	0	0	0	0	0	0.00111
OTU_102	0	0	0	0	0	0	0	0.00317	0.000241	0	0	0	0	0	0	0	0	0	0	0	0.00019	0	0
OTU_103	0	0	0	0	0	0.00355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_105	0	0	0	0	0	0	0	0	0	0	0	0.000485	0.00104	0	0	0	0	0	0.000667	0.000691	0.000228	0.000418	0
OTU_107	0	0	0	0	0	0	0	0.000254	0	0	0	0	0	0	0	0	0	0	0.0017	0.00138	0	0	0
OTU_108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00322	0	0	0
OTU_109	0	0	0.000138	0	0	0	0.000258	0	0.000107	0	0	0.000323	0.000927	0	0	0	0	0	0.000485	0.000384	0.000266	0.000244	0
OTU_110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00238	0	0	0	0	0	0	0	0.000696
OTU_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000596	0	0.00247	0	0	0	0	0	0
OTU_112	0	0.00108	0.00182	0	0	0	0	0	0.000161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_113	0	0.000391	0.00146	0	0	0	0.000344	0	0.000536	0	0	0	0.000145	0	0	0	0	0	0	0	0	0.000174	0
OTU_114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303	0	0	0	0
OTU_115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00295	0	0	0	0	0	0
OTU_116	0	0	0	0	0	0.000418	0	0.000169	0	0	0	0	0	0	0	0	0	0	0	0	0.000987	0.00136	0
OTU_117	0	0	0	0	0	0.00293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_118	0	0	0	0	0	0	0	0	0	0	0.000423	0.000808	0.00136	0	0	0	0	0	0	0	0	0	0
OTU_119	0	0	0	0	0	0	0.000115	0	0	0	0	0.000202	0.000116	0	0.000574	0	0	0	0.00109	0.000307	0.000304	0.000139	0
OTU_120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00284	0	0	0
OTU_121	0	0	0.00011	0	9.54E-05	0	0	0	0	0	7.30E-05	0	0	0	0.000132	0	0	0	0.00127	0.000844	0.000304	0	0
OTU_123	0	0	0.00033	0	0	0	0	0	0.000107	0	0	0	0	0	0.000309	0	0.000617	0	0	0.00115	0.000228	0	0
OTU_124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00156	0.00118	0
OTU_125	0	0	0	0	0.000596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000384	0.000684	0.00104	0
OTU_126	0	0.0014	0.00129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000684	0.00195	0
OTU_130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000508	0	0	0	0	0	0	0	0.00209
OTU_131	0	0	0	0	0	0	0	0	0.00252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_133	0	0	0	0	0.00227	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000242	0	0	0	0
OTU_134	0	0	0	0	0.000334	0	0	0	0.000161	0	0	0	0	0	0.000132	0	0	0	0.000667	0.000844	0.00019	0.000174	0
OTU_135	0	0	0	0	0.00129	0.00121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0	0	0
OTU_139	0	0	0.000165	0	0	0.00092	0	0	0.000134	0	0	0	0	0	0	0	0	0	0.000485	0.000307	0.000266	0	0
OTU_141	0	0	0	0	0	0	0.00224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_144	0	0	0	0	0	0	0.00189	0	0	0	0	0	0	0	0	0	0.000274	0	0	0	0	0	0
OTU_145	0	0.000783	0.00127	0	0	0	0.000115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
